Inputs,Outputs,Nodes,Skip %,Optimizer,Best Val Acc (%),Best Epoch,Final Val Acc (%),Final Val Loss,CPU Load (%),Memory Used (MB),Memory Free (MB),Start Time,End Time,Avg Time (ns),Average Weight,Edge Count,Learning Rate,Dropout Rate,L2 Lambda,Adam Beta1,Adam Beta2,Adam Epsilon,RMSprop Decay,RMSprop Epsilon,Depth,Total Nodes,Layer Config,Architecture String,Teacher Params,Student Params,Baseline Params
22,2,22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N-22N-14N-14N-2N,25.0,Config1,59.5,2,49.0,0.7207798413014256,12.35,4,507,115039111593200,115039116579300,5753675.0,1.387742,28,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,16,208,"[22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2, 22, 14, 14, 2]",22n-14n-14n-2o,,704,718
NA,NA,NA,0.0,Config6,59.0,330,56.49999999999999,0.5000105358075265,12.42,12,499,215648946531400,215648955747700,6345607.0,0.816254,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,718
NA,NA,NA,0.0,Config4,57.99999999999999,164,52.0,0.6208987380450478,12.54,4,507,215633212137400,215633218683700,7760986.0,1.038376,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,718
NA,NA,NA,0.0,Config3,57.49999999999999,303,50.0,0.6763038980776835,11.74,156,355,215623679519400,215623688031700,6450888.5,1.35755,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,718
NA,NA,NA,0.0,Config5,57.99999999999999,347,48.0,0.6292643435107957,11.23,8,503,215640648247000,215640654235000,5722025.5,0.875626,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,718
NA,NA,NA,0.0,Config6,54.50000000000001,194,42.0,0.5421028257306795,12.53,30,481,215686060948800,215686067854000,7727266.5,1.27118,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,718
NA,NA,NA,0.0,Config4,54.50000000000001,4,45.5,0.7405512545745077,12.29,20,491,215667731986700,215667737621200,7359012.5,1.066723,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,718
NA,NA,NA,0.0,Config3,53.0,357,48.0,0.7406266160468948,12.43,16,495,215658619770400,215658626319400,7331298.0,1.399452,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,718
NA,NA,NA,0.0,Config5,56.00000000000001,10,49.5,0.5561202634261068,12.35,24,487,215675973471400,215675980275600,6464268.0,1.059944,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,718
NA,NA,NA,0.0,Config6,61.0,79,46.5,0.566518631652158,12.25,46,465,215719263151100,215719270870800,6111686.5,0.841492,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,718
NA,NA,NA,0.0,Config4,57.49999999999999,0,45.0,0.5890997064782317,11.93,38,473,215702548530800,215702554493400,6295333.5,1.176444,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,718
NA,NA,NA,0.0,Config3,55.00000000000001,331,50.5,0.7034214897280462,12.47,34,477,215694409230900,215694416163900,6323050.0,1.625852,22,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,718
NA,NA,NA,0.0,Config5,56.49999999999999,166,45.0,0.542402029736635,11.46,42,469,215711061997300,215711068304800,6522288.5,0.977371,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,718
NA,NA,NA,10.0,Config6,55.50000000000001,14,45.5,0.6341898175787051,12.68,144,367,216669830241300,216669835321400,5198582.5,1.224409,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,762
NA,NA,NA,10.0,Config3,58.5,351,53.0,0.6443483805658198,12.67,132,379,216649785955600,216649790713600,5091274.0,1.476143,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,762
NA,NA,NA,10.0,Config5,54.50000000000001,318,49.5,0.6513426739589815,12.63,140,371,216663225568600,216663230963000,5469956.5,1.286456,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,762
NA,NA,NA,10.0,Config4,61.0,126,51.5,0.7153704552110096,12.62,136,375,216656448499800,216656453644900,5358252.0,1.448946,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,762
NA,NA,NA,10.0,Config6,59.0,163,51.5,0.5873983712725815,12.45,162,349,216697226145200,216697231182200,5668708.5,1.049607,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,762
NA,NA,NA,10.0,Config3,60.5,162,56.00000000000001,0.64139092176401,12.11,148,363,216676231201500,216676236037100,4847087.5,1.62038,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,762
NA,NA,NA,10.0,Config5,55.00000000000001,201,52.5,0.5801198552959304,12.67,156,355,216690019981700,216690026104600,5592397.5,1.34941,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,762
NA,NA,NA,10.0,Config4,61.5,100,54.0,0.6699229172739275,12.5,152,359,216683099070000,216683106615000,5628117.5,1.367099,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,762
NA,NA,NA,10.0,Config6,60.5,379,59.5,0.49782041580039793,12.44,178,333,216723945681500,216723951539600,5371946.0,1.024286,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,762
NA,NA,NA,10.0,Config3,56.00000000000001,204,47.5,0.7365276630896829,12.68,166,345,216703725702100,216703730906800,4937840.0,1.200884,20,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,762
NA,NA,NA,10.0,Config5,57.99999999999999,309,49.0,0.6425588449147943,12.63,174,337,216717158355400,216717163625500,5499710.5,1.187201,16,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,762
NA,NA,NA,10.0,Config4,56.99999999999999,219,54.50000000000001,0.6273569118895918,11.09,170,341,216710398022400,216710403066300,5267707.0,1.325138,18,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,762
NA,NA,NA,100.0,Config6,54.0,210,46.5,0.7473531824745208,12.62,236,275,221254692850700,221254701830000,7935064.0,1.788599,8,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,1146
NA,NA,NA,100.0,Config5,56.00000000000001,205,46.5,0.6700222806883085,12.49,232,279,221246085626600,221246093453300,9060178.0,1.197744,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,1146
NA,NA,NA,100.0,Config4,56.99999999999999,150,51.0,0.621638666602695,12.09,226,285,221236647552200,221236660266500,10709403.0,1.269457,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,1146
NA,NA,NA,100.0,Config3,55.50000000000001,297,52.0,0.7096305941778306,12.49,222,289,221225713285100,221225721023500,10160645.0,1.565377,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,1146
NA,NA,NA,100.0,Config6,55.00000000000001,90,53.5,0.6431175162295386,12.33,254,257,221293333888300,221293342865600,8748563.5,2.006849,8,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,1146
NA,NA,NA,100.0,Config5,58.5,238,52.0,0.7755447290956754,12.57,248,263,221283918215600,221283926908100,10236480.0,1.354058,10,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,5,1146
NA,NA,NA,100.0,Config4,59.0,106,46.5,0.7076484231132808,12.06,244,267,221273484273500,221273493294000,9656099.5,1.174793,12,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,4,1146
NA,NA,NA,100.0,Config3,57.99999999999999,43,48.5,0.7174075080746821,12.3,240,271,221263480432100,221263489382900,7824522.5,1.536578,14,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,3,1146
NA,NA,NA,100.0,Config6,54.50000000000001,167,53.0,0.8046653178860521,12.32,272,239,221330965944500,221330974187200,8612839.0,1.265748,8,0.01,0.3,0.0015,0.99,0.999,1.0,0.99,1.0,NA,NA,NA,NA,,6,1146
